Product Name,Brand,Reviews
Daisy Love Eau De Toilette 3-Piece Holiday Gift Set,Marc Jacobs,4.7 out of 5 stars ; 6349 reviews
Blossom Eau de Parfum,Jimmy Choo,4.2 out of 5 stars ; 30 reviews
Beautiful Magnolia Eau de Parfum Spray,Estée Lauder,4.8 out of 5 stars ; 7782 reviews
Giorgio Armani Fragrance Must-Haves 2 Piece Mini Gift Set,ARMANI,3.3 out of 5 stars ; 26 reviews
Light Blue Summer Vibes Eau de Toilette,Dolce&Gabbana,4.3 out of 5 stars ; 191 reviews
Her London Dream Eau de Parfum,Burberry,4.4 out of 5 stars ; 617 reviews
Her Eau de Parfum Petals Limited Edition,Burberry,4.5 out of 5 stars ; 5048 reviews
Acqua di Gioia Eau de Parfum Intense,ARMANI,4.7 out of 5 stars ; 195 reviews
Jimmy Choo Eau de Parfum,Jimmy Choo,4.6 out of 5 stars ; 521 reviews
Fever Eau de Parfum,Jimmy Choo,4.7 out of 5 stars ; 565 reviews
Sweet Ash Eau de Toilette,Snif,4.8 out of 5 stars ; 886 reviews
Dreams Sunset 4-Piece Set,Coach,Kit Price ($164 value)
Pleasures Eau de Parfum Perfume Spray,Estée Lauder,4.8 out of 5 stars ; 699 reviews
Euphoria Eau de Parfum,Calvin Klein,4.7 out of 5 stars ; 1851 reviews
Viva La Juicy Gold Couture Eau de Parfum,Juicy Couture,4.6 out of 5 stars ; 292 reviews
La Vie Est Belle 3 Piece Fragrance Holiday Gift Set,Lancôme,5 out of 5 stars ; 1 reviews
WINDOW2SOUL Parfum,Orebella,4.7 out of 5 stars ; 625 reviews
Devotion Eau de Parfum 2-Pc Gift Set,Dolce&Gabbana,3.6 out of 5 stars ; 5 reviews
Versace Crystal Noir Eau De Parfum,Versace,4.6 out of 5 stars ; 28 reviews
11 11 Vanilla Eau de Parfum,Lake & Skye,4.2 out of 5 stars ; 95 reviews
Sì Eau de Parfum,ARMANI,4.6 out of 5 stars ; 643 reviews
Dreams Eau de Parfum,Coach,4.3 out of 5 stars ; 1353 reviews
COCO Eau de Parfum Spray,CHANEL,4.5 out of 5 stars ; 35 reviews
Madagascar Vanilla Perfume Oil Duo Set,NEST New York,4.2 out of 5 stars ; 27 reviews
Miss Dior Rose N'Roses Eau de Toilette,Dior,4.2 out of 5 stars ; 3370 reviews
Trésor Eau de Parfum,Lancôme,4.7 out of 5 stars ; 624 reviews
Fame Eau de Parfum and Fame Parfum Mini Duo Gift Set,Rabanne,4.5 out of 5 stars ; 484 reviews
The One Eau de Parfum,Dolce&Gabbana,4.7 out of 5 stars ; 264 reviews
Heal the Way Eau de Toilette,Snif,4.8 out of 5 stars ; 786 reviews
Guilty Pour Femme Eau de Toilette,Gucci,4.3 out of 5 stars ; 1740 reviews
GABRIELLE CHANEL ESSENCE Eau de Parfum Spray,CHANEL,4.7 out of 5 stars ; 45 reviews
Coco Shimmy Eau de Toilette,Snif,4.8 out of 5 stars ; 298 reviews
Dylan Blue Pour Femme Eau de Parfum,Versace,4.5 out of 5 stars ; 400 reviews
Libre Le Parfum,Yves Saint Laurent,4.6 out of 5 stars ; 2562 reviews
Sublime by Tory Burch Eau de Parfum Mini Gift Set,Tory Burch,5 out of 5 stars ; 5 reviews
Fresh Cream Eau de Toilette,Philosophy,4.6 out of 5 stars ; 15794 reviews
Rose Gold Eau de Parfum 3-Piece Holiday Gift Set,Tiffany & Co.,4.4 out of 5 stars ; 1212 reviews
Crème Vanille Eau De Parfum,LE MONDE GOURMAND,4.1 out of 5 stars ; 37 reviews
Floral Eau de Parfum 2-Piece Set,Coach,5 out of 5 stars ; 3 reviews
Black Orchid Eau de Parfum,TOM FORD,4.2 out of 5 stars ; 806 reviews
Sì Passione Eau de Parfum,ARMANI,4.7 out of 5 stars ; 5553 reviews
Viva La Juicy Sucré Eau De Parfum,Juicy Couture,4.4 out of 5 stars ; 434 reviews
Tiffany & Love Eau de Parfum 3-Piece Holiday Gift Set,Tiffany & Co.,4.4 out of 5 stars ; 523 reviews
Daisy Eau So Intense Eau de Parfum,Marc Jacobs,4.4 out of 5 stars ; 1183 reviews
NIGHTCAP Duo Gift Set,Orebella,3.7 out of 5 stars ; 182 reviews
Nomade Eau de Parfum,Chloé,4.6 out of 5 stars ; 368 reviews
GABRIELLE CHANEL Eau de Parfum Spray,CHANEL,4 out of 5 stars ; 29 reviews
Idôle Now Eau De Parfum,Lancôme,4.6 out of 5 stars ; 513 reviews
Amazing Grace Eau de Toilette 3-Piece Gift Set,Philosophy,Kit Price ($118 value)
Perfect Intense Eau de Parfum,Marc Jacobs,4.5 out of 5 stars ; 1140 reviews
My Way Nectar Eau de Parfum,ARMANI,4.5 out of 5 stars ; 473 reviews
